market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count
"ftx-btc-try-spot","2022-10-02T00:00:00.000000000Z","359831","357245","360231","357245","358622.1335747542","0.009665","184.678008475042790397","11"
"ftx-btc-try-spot","2022-10-03T00:00:00.000000000Z","357245","367611","368382","357245","361881.1413196136","12.324411","237741.689055918673767959","160"
"ftx-btc-try-spot","2022-10-04T00:00:00.000000000Z","367611","380736","380936","365039","373692.9640526547","9.817999","196140.932911765749979907","179"
"ftx-btc-try-spot","2022-10-05T00:00:00.000000000Z","380736","377486","380736","367600","377754.304909852","5.561634","112289.0621848003297887","136"
"ftx-btc-try-spot","2022-10-06T00:00:00.000000000Z","377486","373261","382079","372340","377114.9136544033","2.192897","43999.94785673714291164","225"
"ftx-btc-try-spot","2022-10-07T00:00:00.000000000Z","373261","368604","374898","363068","371927.5699449518","8.505646","168931.835072255061235785","527"
"ftx-btc-try-spot","2022-10-08T00:00:00.000000000Z","368604","362945","368604","362590","364772.1254929948","1.336728","25950.818855671867950287","91"
"ftx-btc-try-spot","2022-10-09T00:00:00.000000000Z","362945","364374","366749","362945","365400.9758529206","1.181675","22988.294450559800477385","109"
"ftx-btc-try-spot","2022-10-10T00:00:00.000000000Z","364374","360250","366120","358800","363228.3975750603","1.514182","29272.22471572972118844","196"
"ftx-btc-try-spot","2022-10-11T00:00:00.000000000Z","359450","357600","361600","355000","359150.0805626766","6.782297","129394.293547046840411753","287"
"ftx-btc-try-spot","2022-10-12T00:00:00.000000000Z","357600","360900","360900","356700","359239.1756018789","2.228729","42620.6777620108428592931965","88"
"ftx-btc-try-spot","2022-10-13T00:00:00.000000000Z","360900","364800","399900","333560","348561.2030521577","43.780308","807664.2366428227511772939","1548"
"ftx-btc-try-spot","2022-10-14T00:00:00.000000000Z","364800","360600","373900","360250","369271.8412270856","7.232682","142188.361645074530819032","233"
"ftx-btc-try-spot","2022-10-15T00:00:00.000000000Z","360600","360550","361800","359200","360945.9361697435","0.725424","13887.307760422137213083","75"
"ftx-btc-try-spot","2022-10-16T00:00:00.000000000Z","360550","363600","365950","360550","361355.4918498132","0.648206","12414.915498805912091146","60"
"ftx-btc-try-spot","2022-10-17T00:00:00.000000000Z","363600","367200","369850","361550","365708.2900059957","1.452701","28220.124980792765257852","79"
"ftx-btc-try-spot","2022-10-18T00:00:00.000000000Z","367200","364350","369800","361050","366214.9078715938","10.858106","211649.572736641931290761","1261"
"ftx-btc-try-spot","2022-10-19T00:00:00.000000000Z","364350","361550","364450","361050","362462.2218929678","1.758181","33771.112165648659198505","122"
"ftx-btc-try-spot","2022-10-20T00:00:00.000000000Z","361550","359700","364050","359150","359629.7298213445","11.977297","228942.774068798149440935","353"
"ftx-btc-try-spot","2022-10-21T00:00:00.000000000Z","359700","362350","364050","354050","359235.7849398235","4.513639","86049.325749765491334131","331"
"ftx-btc-try-spot","2022-10-22T00:00:00.000000000Z","362350","362750","363550","359950","360717.4125157443","3.553668","68122.528110499666676188","118"
"ftx-btc-try-spot","2022-10-23T00:00:00.000000000Z","363050","368750","369650","361900","365448.8420160349","2.314583","44827.224853761075685721676","207"
"ftx-btc-try-spot","2022-10-24T00:00:00.000000000Z","368750","364700","368750","362850","365017.1946633694","32.75475","634151.544201884983857993","890"
"ftx-btc-try-spot","2022-10-25T00:00:00.000000000Z","364700","376750","380900","362500","367446.3739356227","12.232036","239148.703540919586297333","313"
"ftx-btc-try-spot","2022-10-26T00:00:00.000000000Z","376750","390800","393450","376750","387444.107841235","14.580471","300840.130891130933589229","516"
"ftx-btc-try-spot","2022-10-27T00:00:00.000000000Z","390800","381900","390800","381300","388400.7879636666","1.433061","29664.762309347403667605","164"
"ftx-btc-try-spot","2022-10-28T00:00:00.000000000Z","381900","386850","389400","378750","382959.4480399951","10.859718","221241.901807697368065729","254"
"ftx-btc-try-spot","2022-10-29T00:00:00.000000000Z","386850","390300","392800","386350","390736.8407247668","3.475104","72593.468880152426912569","373"
"ftx-btc-try-spot","2022-10-30T00:00:00.000000000Z","390000","385450","390900","384000","386684.6578028649","0.986785","20432.12238766462886188","186"
"ftx-btc-try-spot","2022-10-31T00:00:00.000000000Z","385450","384550","389400","381150","383581.4148368686","6.594626","134873.031928152382557974","418"
"ftx-btc-try-spot","2022-11-01T00:00:00.000000000Z","384500","384800","386950","382850","384791.9077198471","4.333933","88735.493315098316012363","178"
"ftx-btc-try-spot","2022-11-02T00:00:00.000000000Z","384800","380950","391850","379500","386103.8964919931","18.747825","383407.804086775638579352","500"
"ftx-btc-try-spot","2022-11-03T00:00:00.000000000Z","381000","380950","383150","378650","380881.392817156","2.999202","60630.486899449834226207","239"
"ftx-btc-try-spot","2022-11-04T00:00:00.000000000Z","380950","396000","398050","380950","390713.1770040488","4.262733","88743.168392532547522415","275"
