market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count
"kraken-usdt-aud-spot","2020-08-19T00:00:00.000000000Z","1.3839","1.3982","1.3982","1.3825","1.386299193544468","3123.98521203","3127.4623367937305252777955989867399412670411162","21"
"kraken-usdt-aud-spot","2020-08-20T00:00:00.000000000Z","1.3982","1.3987","1.4184","1.395","1.403318100006892","65454.49204884","65564.83298319887356044935793700094019973633839914","157"
"kraken-usdt-aud-spot","2020-08-21T00:00:00.000000000Z","1.3987","1.4088","1.4121","1.3911","1.402377867777536","81967.97390978","82130.21273314340967432962694462420799193762186913","215"
"kraken-usdt-aud-spot","2020-08-22T00:00:00.000000000Z","1.4085","1.407","1.417","1.4","1.40754325890553","53651.37277695","53689.98263300058917038549183902146080592458023682962","196"
"kraken-usdt-aud-spot","2020-08-23T00:00:00.000000000Z","1.407","1.4","1.4268","1.4","1.414121953448655","69773.75204556","70053.961015911033546053861099295801215536454728552495","97"
"kraken-usdt-aud-spot","2020-08-24T00:00:00.000000000Z","1.4","1.4041","1.409","1.3985","1.401121293981816","120485.36659474","120476.4939032415041927450337130364376189042923099","214"
"kraken-usdt-aud-spot","2020-08-25T00:00:00.000000000Z","1.4041","1.3969","1.4085","1.3969","1.403422319024584","88528.97410695","88433.88343654044748369129341222189241785351085712","266"
"kraken-usdt-aud-spot","2020-08-26T00:00:00.000000000Z","1.3969","1.3896","1.404","1.3851","1.397531837142415","57356.0375426","57391.85282052595929380171778449994216606636197566","145"
"kraken-usdt-aud-spot","2020-08-27T00:00:00.000000000Z","1.3895","1.3836","1.4066","1.3836","1.392021022615293","90767.55544681","90792.963169134741380877587302714787602475963978425728","220"
"kraken-usdt-aud-spot","2020-08-28T00:00:00.000000000Z","1.3836","1.3676","1.386","1.3624","1.380253907820689","82629.39087497","82673.2122766487476106923474872795995727618261811","202"
"kraken-usdt-aud-spot","2020-08-29T00:00:00.000000000Z","1.3676","1.3684","1.3691","1.3651","1.36632076038744","9530.24192897","9535.791626355724133815490117572656625756563721","42"
"kraken-usdt-aud-spot","2020-08-30T00:00:00.000000000Z","1.3684","1.3674","1.372","1.3665","1.368815651692076","25472.04113879","25458.3293317237406792196794721387020368336801505","91"
"kraken-usdt-aud-spot","2020-08-31T00:00:00.000000000Z","1.3674","1.363","1.3704","1.356","1.363344584677167","94210.56232708","94200.1522470572830117673100712054395567827090775","197"
"kraken-usdt-aud-spot","2020-09-01T00:00:00.000000000Z","1.363","1.3608","1.3669","1.357","1.36150490243117","80192.17824587","80236.77783092322169548699524116225623216668490967","178"
"kraken-usdt-aud-spot","2020-09-02T00:00:00.000000000Z","1.3608","1.371","1.3792","1.359","1.366591610630967","71802.50055027","71845.96351607857100931320378645530471766642495976","239"
"kraken-usdt-aud-spot","2020-09-03T00:00:00.000000000Z","1.371","1.39","1.4008","1.37","1.385469474301813","117587.45113291","117739.37608246920937290658750644513614904183527721","309"
"kraken-usdt-aud-spot","2020-09-04T00:00:00.000000000Z","1.39","1.3871","1.4004","1.371","1.387526089557874","167891.01754609","167882.99607101165914371336232216007387561536786515","497"
"kraken-usdt-aud-spot","2020-09-05T00:00:00.000000000Z","1.3871","1.3878","1.3922","1.3821","1.38787482048755","42805.26004831","42817.7014043701353778427524742084974948573903234","130"
"kraken-usdt-aud-spot","2020-09-06T00:00:00.000000000Z","1.3878","1.3852","1.3887","1.3815","1.385058933423271","37658.18255067","37621.70371321841779381290332026739756284091266112","70"
"kraken-usdt-aud-spot","2020-09-07T00:00:00.000000000Z","1.3852","1.3873","1.3879","1.3802","1.385287016356999","117104.60119439","117160.41798830630658584839651038838665884985993872","160"
