market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count
"binance-eth-uah-spot","2021-05-28T00:00:00.000000000Z","74500","67253","74500","14000","68964.86087918059","673.212862","1668153.635939609","1166"
"binance-eth-uah-spot","2021-05-29T00:00:00.000000000Z","67123","63438","71562","61468","65701.16916780732","1476.554038","3484435.06320049","2280"
"binance-eth-uah-spot","2021-05-30T00:00:00.000000000Z","63438","66448","68888","60900","65795.40945190913","689.246597","1629798.819080682","1315"
"binance-eth-uah-spot","2021-05-31T00:00:00.000000000Z","66448","75447","75606","63377","69479.4318509756","727.746104","1817942.930901984","1641"
"binance-eth-uah-spot","2021-06-01T00:00:00.000000000Z","74957","73207","76208","70132","72895.02448737638","305.657204","801816.598779948","1136"
"binance-eth-uah-spot","2021-06-02T00:00:00.000000000Z","73531","74947","77779","71218","74692.78352967403","192.008756","516482.54304223","1001"
"binance-eth-uah-spot","2021-06-03T00:00:00.000000000Z","74947","78811","80000","73755","77856.69040277022","122.271627","344491.75749238","838"
"binance-eth-uah-spot","2021-06-04T00:00:00.000000000Z","78869","74356","78982","70299","73928.34430984438","164.611201","440933.631447963","832"
"binance-eth-uah-spot","2021-06-05T00:00:00.000000000Z","74356","72515","77610","70399","73242.20784013818","158.624245","421497.699303421","770"
"binance-eth-uah-spot","2021-06-06T00:00:00.000000000Z","72515","74528","75630","72142","74080.62213822783","49.449866","132885.990225304","475"
"binance-eth-uah-spot","2021-06-07T00:00:00.000000000Z","74528","71140","78231","70883","74803.16870226413","137.870906","375328.646249678","895"
"binance-eth-uah-spot","2021-06-08T00:00:00.000000000Z","71109","69000","72140","63516","67511.6180137561","376.812818","924689.567146443","1513"
"binance-eth-uah-spot","2021-06-09T00:00:00.000000000Z","69000","71482","72000","66179","69512.63329297865","223.24548","565709.011804091","977"
"binance-eth-uah-spot","2021-06-10T00:00:00.000000000Z","71482","67737","71745","66800","69211.08619645994","126.833051","320152.727560036","807"
"binance-eth-uah-spot","2021-06-11T00:00:00.000000000Z","67737","64615","68388","63608","66363.7902447766","101.398662","245737.501948364","571"
"binance-eth-uah-spot","2021-06-12T00:00:00.000000000Z","64615","64640","67099","61816","64554.08952894001","117.368194","276666.638243712","448"
"binance-eth-uah-spot","2021-06-13T00:00:00.000000000Z","64640","68481","69711","63348","65050.43170259462","101.023889","240172.593837433","504"
"binance-eth-uah-spot","2021-06-14T00:00:00.000000000Z","68481","70631","71293","67222","69145.11581531413","63.583707","161034.505693701","539"
"binance-eth-uah-spot","2021-06-15T00:00:00.000000000Z","70631","69656","72090","68001","70196.19122963176","70.473529","181328.59671033","554"
"binance-eth-uah-spot","2021-06-16T00:00:00.000000000Z","69656","64754","69656","64582","66961.3136598398","79.372007","194468.081418111","500"
"binance-eth-uah-spot","2021-06-17T00:00:00.000000000Z","64754","65230","67408","63431","65174.58373633651","162.856862","386442.861775755","744"
"binance-eth-uah-spot","2021-06-18T00:00:00.000000000Z","65230","61146","65237","58962","61906.82631760207","277.554436","624480.097538167","1017"
"binance-eth-uah-spot","2021-06-19T00:00:00.000000000Z","61146","60122","62762","59780","61258.50697489701","120.180986","267407.314384535","536"
"binance-eth-uah-spot","2021-06-20T00:00:00.000000000Z","60122","61833","62696","56205","59295.37586024118","293.263833","631583.71076698","867"
"binance-eth-uah-spot","2021-06-21T00:00:00.000000000Z","61883","52060","62154","51655","54916.44548287297","1227.82301","2442882.923567089","2533"
"binance-eth-uah-spot","2021-06-22T00:00:00.000000000Z","52060","52102","55100","47117","50723.37717701886","1281.274555","2347945.810233863","2856"
"binance-eth-uah-spot","2021-06-23T00:00:00.000000000Z","52316","54350","56445","50811","54762.61370072726","445.895556","882873.816752069","1153"
"binance-eth-uah-spot","2021-06-24T00:00:00.000000000Z","54328","55268","56303","52024","54406.27697422609","226.158722","444557.768142531","1038"
"binance-eth-uah-spot","2021-06-25T00:00:00.000000000Z","55268","50110","56121","49549","51453.49952842577","380.963349","707237.421512874","1666"
"binance-eth-uah-spot","2021-06-26T00:00:00.000000000Z","50203","50617","51060","47520","48982.81001885057","428.008859","757429.739103057","1736"
"binance-eth-uah-spot","2021-06-27T00:00:00.000000000Z","50617","54897","54897","50001","51710.09019389046","240.989017","449975.552361624","1427"
"binance-eth-uah-spot","2021-06-28T00:00:00.000000000Z","54909","57492","59360","54228","57126.22520890546","418.810623","863966.973939854","1892"
"binance-eth-uah-spot","2021-06-29T00:00:00.000000000Z","57492","59650","62100","57492","60150.79288290496","220.129869","478593.305068859","1474"
"binance-eth-uah-spot","2021-06-30T00:00:00.000000000Z","59915","62956","63422","57656","60344.36686239631","357.491251","779147.71291446","1851"
"binance-eth-uah-spot","2021-07-01T00:00:00.000000000Z","62956","58396","62966","57560","59074.42855537299","371.406145","792523.497471739","1661"
"binance-eth-uah-spot","2021-07-02T00:00:00.000000000Z","58396","59796","59877","55944","57810.87429752417","248.362992","517968.960158529","1158"
"binance-eth-uah-spot","2021-07-03T00:00:00.000000000Z","59796","61735","61946","58629","60933.64584093173","145.337744","320005.715764369","1048"
"binance-eth-uah-spot","2021-07-04T00:00:00.000000000Z","61735","64254","66040","60534","63924.33370932329","99.637414","230244.381854394","1237"
"binance-eth-uah-spot","2021-07-05T00:00:00.000000000Z","64254","60614","64254","59591","61790.5180431576","251.541892","563123.492206817","1361"
"binance-eth-uah-spot","2021-07-06T00:00:00.000000000Z","60518","64208","64834","60518","63448.95212174465","271.913918","625319.311745542","1073"
"binance-eth-uah-spot","2021-07-07T00:00:00.000000000Z","64208","63999","66397","63314","64737.33282457846","198.504898","466064.681560852","757"
"binance-eth-uah-spot","2021-07-08T00:00:00.000000000Z","63703","58406","63966","57689","60104.97112167033","194.604434","423976.207289241","778"
"binance-eth-uah-spot","2021-07-09T00:00:00.000000000Z","58406","59579","60406","56668","58994.75237814163","166.662803","355658.410662829","586"
"binance-eth-uah-spot","2021-07-10T00:00:00.000000000Z","59200","58676","60486","57280","58434.41782874906","127.44736","269809.640940883","470"
"binance-eth-uah-spot","2021-07-11T00:00:00.000000000Z","58676","58956","59896","57373","58676.16033428997","48.951394","104053.83539441","347"
"binance-eth-uah-spot","2021-07-12T00:00:00.000000000Z","58956","56097","59750","55458","57587.40760906164","86.335718","180416.200635192","599"
"binance-eth-uah-spot","2021-07-13T00:00:00.000000000Z","56085","53758","56292","52991","54995.17937694535","132.70425","264455.587157864","631"
"binance-eth-uah-spot","2021-07-14T00:00:00.000000000Z","53758","54938","55650","51607","53782.08950282272","165.034471","321268.613245837","665"
"binance-eth-uah-spot","2021-07-15T00:00:00.000000000Z","54938","53020","56238","51965","53621.04882704001","139.940451","272008.789477272","530"
"binance-eth-uah-spot","2021-07-16T00:00:00.000000000Z","53020","51562","54156","50954","52464.22471118045","186.279632","354514.441121883","613"
"binance-eth-uah-spot","2021-07-17T00:00:00.000000000Z","51562","52109","52832","50914","51947.19132015714","122.296131","230460.618643758","492"
"binance-eth-uah-spot","2021-07-18T00:00:00.000000000Z","52109","52317","54879","51731","53209.23700961194","136.531083","264090.198802665","610"
"binance-eth-uah-spot","2021-07-19T00:00:00.000000000Z","52317","50232","52773","49677","51039.12568205406","151.606935","281109.435212773","688"
"binance-eth-uah-spot","2021-07-20T00:00:00.000000000Z","50232","49302","50481","47314","48519.66541598233","381.346156","672318.268488947","1160"
"binance-eth-uah-spot","2021-07-21T00:00:00.000000000Z","49355","55000","55999","48337","52922.4043481281","226.522535","435004.826869332","982"
"binance-eth-uah-spot","2021-07-22T00:00:00.000000000Z","55000","55543","56222","53632","54975.4999570152","205.060869","409914.165912363","759"
"binance-eth-uah-spot","2021-07-23T00:00:00.000000000Z","55687","58502","58578","55047","56381.8828033897","132.146979","270826.57337468","720"
