market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count
"mexc-eth-eur-spot","2024-11-06T00:00:00.000000000Z","2438.62","2522.86","2535.17","2426.83","2478.520627535156","37.5963","100280.24625915","1817"
"mexc-eth-eur-spot","2024-11-07T00:00:00.000000000Z","2523.21","2678.11","2698.91","2509.61","2638.024840882745","111.8829","318980.98143961","3125"
"mexc-eth-eur-spot","2024-11-08T00:00:00.000000000Z","2680.01","2762.13","2778.05","2677.41","2724.124735146683","41.7533","122317.31675456","3085"
"mexc-eth-eur-spot","2024-11-09T00:00:00.000000000Z","2762.16","2916.37","2943.29","2756.71","2841.545740367458","76.0521","231750.05533069","3113"
"mexc-eth-eur-spot","2024-11-10T00:00:00.000000000Z","2916.55","2965.87","3018.63","2811.37","2916.377729644291","309.1172","975007.28803035","3276"
"mexc-eth-eur-spot","2024-11-11T00:00:00.000000000Z","2965.07","3130.06","3152.58","2899.15","3018.974376055863","46.5851","150448.67270485","3084"
"mexc-eth-eur-spot","2024-11-12T00:00:00.000000000Z","3127.79","3029.37","3213.49","2941.42","3062.890003643016","139.4449","460410.35379583","3262"
"mexc-eth-eur-spot","2024-11-13T00:00:00.000000000Z","3030.74","3009.47","3143.53","2904.74","3016.890343330812","28.8206","92583.39642666","3246"
"mexc-eth-eur-spot","2024-11-14T00:00:00.000000000Z","3008.92","2906.13","3063.34","2884.1","2982.065415980946","47.8207","150592.50822862","3147"
"mexc-eth-eur-spot","2024-11-15T00:00:00.000000000Z","2905.18","2921.75","2961.16","2860.54","2896.377219350523","65.0215","198549.15328917","3106"
"mexc-eth-eur-spot","2024-11-16T00:00:00.000000000Z","2921.79","2957.63","3042.77","2906.42","2992.077507913143","46.5365","147276.03814294","3115"
"mexc-eth-eur-spot","2024-11-17T00:00:00.000000000Z","2957.6","2910.52","2987.85","2873.21","2936.069267116198","23.8619","74120.60129379","3068"
