market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count
"binance-eos-aud-spot","2021-07-23T00:00:00.000000000Z","4.941","4.925","4.941","4.505","4.79923076115118","2856.2","10085.45691268251090436825158","73"
"binance-eos-aud-spot","2021-07-24T00:00:00.000000000Z","4.925","5.05","6","4.921","5.008643206324702","8550.6","31471.948844345044972465808818071","98"
"binance-eos-aud-spot","2021-07-25T00:00:00.000000000Z","5.05","4.997","5.9","3.6","5.15281189604916","133247.6","501149.82887741982849045775138289353212","17374"
"binance-eos-aud-spot","2021-07-26T00:00:00.000000000Z","4.997","5.216","5.749","4.604","5.397975314981339","15969.2","63141.986090295516770611397589983182226","254"
"binance-eos-aud-spot","2021-07-27T00:00:00.000000000Z","5.216","5.106","5.216","4.891","5.01707993057395","28692.4","107464.808746077235499744663626292","121"
"binance-eos-aud-spot","2021-07-28T00:00:00.000000000Z","5.106","5.274","5.5","5.012","5.250813664455149","4401.2","16946.761184249470161649733782119","140"
"binance-eos-aud-spot","2021-07-29T00:00:00.000000000Z","5.274","5.34","5.5","5.076","5.283123755716976","2601.9","10045.685790544836135750005259422","69"
"binance-eos-aud-spot","2021-07-30T00:00:00.000000000Z","5.34","5.53","5.53","5.15","5.307191783128473","3563.4","13946.282482883441270353466748494","74"
"binance-eos-aud-spot","2021-07-31T00:00:00.000000000Z","5.53","5.608","5.727","5.473","5.613945007341077","6879.1","28228.1614409548942369446614141883","99"
"binance-eos-aud-spot","2021-08-01T00:00:00.000000000Z","5.608","5.363","5.777","5.271","5.673057136586436","9568.3","39692.378133174584534187192937071","133"
"binance-eos-aud-spot","2021-08-02T00:00:00.000000000Z","5.363","5.502","5.757","5.348","5.481088048979014","2825.7","11342.409893635790024125530292792","69"
"binance-eos-aud-spot","2021-08-03T00:00:00.000000000Z","5.502","5.402","5.994","5.235","5.455826336455592","335942.7","1335886.451680121637431314590778340364928","85727"
"binance-eos-aud-spot","2021-08-04T00:00:00.000000000Z","5.402","5.564","5.661","5.33","5.503576285289747","1682.5","6826.380979858601220640267814525","53"
"binance-eos-aud-spot","2021-08-05T00:00:00.000000000Z","5.564","5.704","5.704","5.37","5.520618704807814","3153.2","12855.28658289825589879000186022","72"
"binance-eos-aud-spot","2021-08-06T00:00:00.000000000Z","5.704","5.916","5.916","5.568","5.77322115256938","6024.8","25576.902936288797682291423445408","80"
"binance-eos-aud-spot","2021-08-07T00:00:00.000000000Z","5.916","6.224","6.348","5.916","6.17568736973739","4798","21798.945129862437480927362499179","167"
"binance-eos-aud-spot","2021-08-08T00:00:00.000000000Z","6.224","5.899","6.37","5.85","6.186324668784844","8340.5","37910.31361974660286098002719258","122"
"binance-eos-aud-spot","2021-08-09T00:00:00.000000000Z","5.899","6.138","6.232","5.688","6.012263817351598","2737.5","12085.973096033210568549266542987","96"
"binance-eos-aud-spot","2021-08-10T00:00:00.000000000Z","6.138","6.324","6.431","6.01","6.216765433892804","4128.9","18819.884595970251464386532498002","144"
"binance-eos-aud-spot","2021-08-11T00:00:00.000000000Z","6.324","6.478","6.764","6.31","6.508212001900754","7365.5","35168.0778668984981166271732855714","196"
"binance-eos-aud-spot","2021-08-12T00:00:00.000000000Z","6.478","6.303","6.918","6.171","6.518939161890022","11113.1","53112.6776488488480086908395803889","202"
"binance-eos-aud-spot","2021-08-13T00:00:00.000000000Z","6.303","7","7.203","6.303","6.740784485452608","12479.9","61733.627671587454700626919538217","209"
"binance-eos-aud-spot","2021-08-14T00:00:00.000000000Z","7","7.432","7.578","6.863","7.189177951906751","8716.4","46076.445325022995805186689959082787354","261"
"binance-eos-aud-spot","2021-08-15T00:00:00.000000000Z","7.432","7.719","7.719","6.975","7.338126471772165","7949.6","42871.219188255836051648995584774","202"
"binance-eos-aud-spot","2021-08-16T00:00:00.000000000Z","7.719","7.517","8.08","7.458","7.819096565945453","9650.4","55289.524268734440726290516670858","212"
"binance-eos-aud-spot","2021-08-17T00:00:00.000000000Z","7.517","6.975","7.796","6.975","7.439536393116096","8233.7","44533.711495178214217805598599876","251"
"binance-eos-aud-spot","2021-08-18T00:00:00.000000000Z","6.975","6.929","7.407","6.35","6.831570309278351","4850","24150.946304390516284396595308715","122"
"binance-eos-aud-spot","2021-08-19T00:00:00.000000000Z","6.929","7.314","7.49","6.739","7.072611828575078","7828.5","39553.52229802096889226512912014","158"
"binance-eos-aud-spot","2021-08-20T00:00:00.000000000Z","7.349","7.704","7.704","7.234","7.425611565855214","7525.6","39885.137904594910775817395004533","160"
"binance-eos-aud-spot","2021-08-21T00:00:00.000000000Z","7.704","7.682","7.937","7.476","7.683335925915941","14837.2","81000.953262110201245003249812286","267"
"binance-eos-aud-spot","2021-08-22T00:00:00.000000000Z","7.682","7.559","7.8","7.312","7.599959793589162","5949.3","32170.678658775268297395619822845","156"
"binance-eos-aud-spot","2021-08-23T00:00:00.000000000Z","7.559","7.807","8.199","7.546","7.773989917459758","13617.6","75612.445513917333407601636794436","277"
"binance-eos-aud-spot","2021-08-24T00:00:00.000000000Z","7.807","6.973","7.884","6.715","7.409129208730068","13947.2","74704.699072130164476097274929809","242"
"binance-eos-aud-spot","2021-08-25T00:00:00.000000000Z","6.973","7.18","7.203","6.8","7.068387163304232","6448.7","32984.030765974442312668372920476410368","127"
"binance-eos-aud-spot","2021-08-26T00:00:00.000000000Z","7.18","6.616","7.285","6.423","6.80784363911349","6876.4","33993.030312460036372562094189766","133"
"binance-eos-aud-spot","2021-08-27T00:00:00.000000000Z","6.616","6.937","7.005","6.421","6.691675060883984","3859.8","18660.9733404234400580262223889794","114"
"binance-eos-aud-spot","2021-08-28T00:00:00.000000000Z","6.937","6.863","6.961","6.706","6.828444613957324","4850.5","24146.22686915313262661426357245693792","66"
"binance-eos-aud-spot","2021-08-29T00:00:00.000000000Z","6.863","6.964","7.175","6.835","6.967639696757136","3706.6","18822.893382442004862926197527962","91"
"binance-eos-aud-spot","2021-08-30T00:00:00.000000000Z","6.964","6.608","6.964","6.599","6.767069713458003","5384.9","26570.064261524289835299701030617","79"
"binance-eos-aud-spot","2021-08-31T00:00:00.000000000Z","6.608","6.889","6.962","6.547","6.897693810347715","3583.4","18018.279832807832817896460754269","65"
"binance-eos-aud-spot","2021-09-01T00:00:00.000000000Z","6.889","7.25","7.25","6.734","7.000007773331493","2174.1","11147.704861768737927961108492383465984","86"
"binance-eos-aud-spot","2021-09-02T00:00:00.000000000Z","7.25","7.187","7.313","7.013","7.216891940252062","5141.6","27284.948019361499981343630879216","121"
"binance-eos-aud-spot","2021-09-03T00:00:00.000000000Z","7.187","7.635","7.722","6.962","7.397786530946983","6218.7","34142.197292362931105929837714906","216"
"binance-eos-aud-spot","2021-09-04T00:00:00.000000000Z","7.635","7.658","7.948","7.5","7.680858515004909","8453.9","48094.645672397568110801605187543","250"
"binance-eos-aud-spot","2021-09-05T00:00:00.000000000Z","7.76","8.469","8.527","7.456","8.130589425106369","11939.6","72076.663179995209932948801580223","348"
"binance-eos-aud-spot","2021-09-06T00:00:00.000000000Z","8.469","8.432","8.639","7.903","8.377720734396636","9749.5","60577.604013070710906092388060703","387"
"binance-eos-aud-spot","2021-09-07T00:00:00.000000000Z","8.432","6.706","8.432","5.749","7.319872735401707","36905","199295.1302889615553754174636979474","545"
"binance-eos-aud-spot","2021-09-08T00:00:00.000000000Z","6.706","6.476","6.784","6.015","6.485067578412076","11838.1","56506.98953481132410350006322445","252"
"binance-eos-aud-spot","2021-09-09T00:00:00.000000000Z","6.476","6.555","6.768","6.391","6.574529052144875","1946.5","9376.041500600075000062525888701","100"
"binance-eos-aud-spot","2021-09-10T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-09-11T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-09-12T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-09-13T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-09-14T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-09-15T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-09-16T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-09-17T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-09-18T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-09-19T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-09-20T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-09-21T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-09-22T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-09-23T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-09-24T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-09-25T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-09-26T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-09-27T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-09-28T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-09-29T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-09-30T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-10-01T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-10-02T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-10-03T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-10-04T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-10-05T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-10-06T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-10-07T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
"binance-eos-aud-spot","2021-10-08T00:00:00.000000000Z","6.555","6.555","6.555","6.555","6.555","0","0","0"
