market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count
"bitbank-eth-jpy-spot","2020-05-24T00:00:00.000000000Z","22495","21615","36800","21602","22862.43761216435","5983.9093","1244195.5784078","4446"
"bitbank-eth-jpy-spot","2020-05-25T00:00:00.000000000Z","21612","22018","22227","21289","21860.54319524765","2026.8526","410722.0447674","967"
"bitbank-eth-jpy-spot","2020-05-26T00:00:00.000000000Z","21997","21671","22149","21035","21754.95447192865","1765.6118","356403.3368351","1080"
"bitbank-eth-jpy-spot","2020-05-27T00:00:00.000000000Z","21671","22396","22489","21638","22083.73228010774","1672.228","342727.9497478","841"
"bitbank-eth-jpy-spot","2020-05-28T00:00:00.000000000Z","22396","23563","23717","22100","22801.34335901504","2084.9987","441014.170462","1115"
"bitbank-eth-jpy-spot","2020-05-29T00:00:00.000000000Z","23656","23900","24500","23236","23815.79683276995","4241.8327","938200.3552699","1784"
"bitbank-eth-jpy-spot","2020-05-30T00:00:00.000000000Z","23900","26160","26600","23600","25319.73401083659","12590.2569","2955596.5597427","5958"
"bitbank-eth-jpy-spot","2020-05-31T00:00:00.000000000Z","26160","24928","26426","24800","25602.9859990186","8288.4047","1976087.4692861","4285"
"bitbank-eth-jpy-spot","2020-06-01T00:00:00.000000000Z","24894","26500","26839","24850","25959.693459985","6565.0721","1586040.5272202","3568"
"bitbank-eth-jpy-spot","2020-06-02T00:00:00.000000000Z","26500","25922","27399","24500","26260.13101346722","12153.0117","2948537.5602424","5747"
"bitbank-eth-jpy-spot","2020-06-03T00:00:00.000000000Z","25991","26594","26618","25510","26033.62683207975","4176.0259","997588.9347355","2277"
"bitbank-eth-jpy-spot","2020-06-04T00:00:00.000000000Z","26594","26468","26995","25703","26514.36391362981","6740.5527","1638898.9310766","3166"
"bitbank-eth-jpy-spot","2020-06-05T00:00:00.000000000Z","26468","26371","26955","26201","26529.46988764381","4336.8061","1054047.6493209","2064"
