market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count
"ftx-bch-jpy-spot","2022-04-15T00:00:00.000000000Z","42775.93","42775.93","42775.93","42775.93","42775.93","0.002","0.67614609394122395990034","2"
"ftx-bch-jpy-spot","2022-04-16T00:00:00.000000000Z","42775.93","42775.93","42775.93","42775.93","42775.93","0","0","0"
"ftx-bch-jpy-spot","2022-04-17T00:00:00.000000000Z","42775.93","42775.93","42775.93","42775.93","42775.93","0","0","0"
"ftx-bch-jpy-spot","2022-04-18T00:00:00.000000000Z","42775.93","42775.93","42775.93","42775.93","42775.93","0","0","0"
"ftx-bch-jpy-spot","2022-04-19T00:00:00.000000000Z","42775.93","43472.42","43709.3","42775.93","43607.78","0.217","73.444790052586652258974","7"
"ftx-bch-jpy-spot","2022-04-20T00:00:00.000000000Z","43472.42","43191.58","43472.42","43191.58","43191.58","0.277","93.52494473766016847384669293745377182","1"
"ftx-bch-jpy-spot","2022-04-21T00:00:00.000000000Z","43191.58","42812.68","43191.58","42636.38","42724.53","0.026","8.6601999685518581746858642222876894","2"
"ftx-bch-jpy-spot","2022-04-22T00:00:00.000000000Z","42812.68","42812.68","42812.68","42812.68","42724.53","0","0","0"
"ftx-bch-jpy-spot","2022-04-23T00:00:00.000000000Z","42812.68","40565.71","42812.68","40565.71","40565.71","0.087","27.42419905047120176238513011120783472","1"
"ftx-bch-jpy-spot","2022-04-24T00:00:00.000000000Z","40565.71","40565.71","40565.71","40565.71","40565.71","0","0","0"
"ftx-bch-jpy-spot","2022-04-25T00:00:00.000000000Z","40565.71","39332.29","40565.71","38720.14","38847.00003289474","1.824","553.07089342556857819077706866853311432","6"
"ftx-bch-jpy-spot","2022-04-26T00:00:00.000000000Z","39332.29","37722.07","39332.29","37722.07","38151.20182230281","4.412","1318.87472585860410750141337780959891198","8"
"ftx-bch-jpy-spot","2022-04-27T00:00:00.000000000Z","37722.07","38810.74","38810.74","37722.07","38345.64708433735","2.905","873.62437393306908946718151228466882942367","3"
"ftx-bch-jpy-spot","2022-04-28T00:00:00.000000000Z","38810.74","39908.89","39908.89","38810.74","39908.87664050236","0.637","194.7441514905970527551210629840748003","10"
"ftx-bch-jpy-spot","2022-04-29T00:00:00.000000000Z","39908.89","38831.77","39908.89","38831.77","38924.105","0.646","193.233845663803273135926","3"
"ftx-bch-jpy-spot","2022-04-30T00:00:00.000000000Z","38831.77","35011.07","38831.77","34967.41","34984.92630952381","0.672","181.17591604738358442005673702987680928","7"
"ftx-bch-jpy-spot","2022-05-01T00:00:00.000000000Z","35011.07","35011.07","35011.07","35011.07","34984.92630952381","0","0","0"
"ftx-bch-jpy-spot","2022-05-02T00:00:00.000000000Z","35011.07","35011.07","35011.07","35011.07","34984.92630952381","0","0","0"
"ftx-bch-jpy-spot","2022-05-03T00:00:00.000000000Z","35011.07","35011.07","35011.07","35011.07","34984.92630952381","0","0","0"
"ftx-bch-jpy-spot","2022-05-04T00:00:00.000000000Z","35011.07","38253.46","38253.46","35011.07","38253.46","0.001","0.29610090677807949102416","1"
"ftx-bch-jpy-spot","2022-05-05T00:00:00.000000000Z","38253.46","35669.76","38992.59","35669.76","37541.81","0.018","5.18696512128225252844813559353506286269","15"
"ftx-bch-jpy-spot","2022-05-06T00:00:00.000000000Z","35669.76","36004.16","36004.16","34641.73","35359.516","0.015","4.066244131264132079233635479539812976736","9"
"ftx-bch-jpy-spot","2022-05-07T00:00:00.000000000Z","36004.16","35191","36004.16","35152.18","35180.96072","0.25","67.26034678398258685174003642526074626","10"
"ftx-bch-jpy-spot","2022-05-08T00:00:00.000000000Z","35191","34187.81","35191","34059.77","34468.935","0.012","3.16222201493087088333276206599926266","9"
"ftx-bch-jpy-spot","2022-05-09T00:00:00.000000000Z","34187.81","28862.68","34187.81","28862.68","30887.30022222222","0.045","10.634729129486591557505846612263621662146","34"
"ftx-bch-jpy-spot","2022-05-10T00:00:00.000000000Z","28862.68","29438.2","31012.38","27474.23","30366.68365217391","1.725","401.656879935535733775910976275803048383656","11"
"ftx-bch-jpy-spot","2022-05-11T00:00:00.000000000Z","29438.2","24416.38","30186.06","24416.38","28864.97059911013","28.993","6433.468083407502470308367401913101767940518","14"
"ftx-bch-jpy-spot","2022-05-12T00:00:00.000000000Z","24416.38","26295.29","26295.29","22577.2","23140.88897588371","3.027","531.8580734638074118018071578759856208","5"
"ftx-bch-jpy-spot","2022-05-13T00:00:00.000000000Z","26295.29","27650.84","27650.84","26295.29","27650.84","2.056","441.87912917227599755661622952903286865096","1"
"ftx-bch-jpy-spot","2022-05-14T00:00:00.000000000Z","27650.84","27930.31","30148.72","27650.84","29966.30432360743","0.377","87.4480129215041433664424347562117708","3"
"ftx-bch-jpy-spot","2022-05-15T00:00:00.000000000Z","27930.31","27262.9","27930.31","27262.9","27262.9","0.081","17.098523785419660929332798187802768","2"
"ftx-bch-jpy-spot","2022-05-16T00:00:00.000000000Z","27262.9","25682.57","27262.9","25682.57","25682.57","0.082","16.209529606831353564935024218262934","2"
"ftx-bch-jpy-spot","2022-05-17T00:00:00.000000000Z","25682.57","26650","27585","25630","26496.56268839635","3.835","786.949027288867127720685781673914502031086","135"
"ftx-bch-jpy-spot","2022-05-18T00:00:00.000000000Z","26650","24800.87","26905","24800.87","26048.67216216216","0.037","7.44811656060632944701737942281825238","37"
"ftx-bch-jpy-spot","2022-05-19T00:00:00.000000000Z","24800.87","25120","25205","24800.87","25077.5","0.008","1.572004084313892698871873552430178814923","8"
"ftx-bch-jpy-spot","2022-05-20T00:00:00.000000000Z","25120","24117.23","25545","24047.97","24071.13900758098","10.157","1913.293115282907679384948494484033886865479","37"
"ftx-bch-jpy-spot","2022-05-21T00:00:00.000000000Z","24117.23","24632.81","24632.81","24117.23","24539.14848736443","57.813","11099.57276556671753778319142709557315158","28"
"ftx-bch-jpy-spot","2022-05-22T00:00:00.000000000Z","24632.81","25510","25665","24331.71","25294.65274573652","18.119","3575.522643509358615162077237980314806275499","31"
"ftx-bch-jpy-spot","2022-05-23T00:00:00.000000000Z","25355","24580","26440","24270","25282.04326816457","17.135","3388.717749707489627172371455121951084923035","49"
"ftx-bch-jpy-spot","2022-05-24T00:00:00.000000000Z","24580","24890","24890","23340","24212.88461538461","0.026","4.954846818107777390693207367978135400464","26"
"ftx-bch-jpy-spot","2022-05-25T00:00:00.000000000Z","24890","24580","25510","24270","24732.45073170732","0.041","7.972084920100579094848172789887602276022","28"
"ftx-bch-jpy-spot","2022-05-26T00:00:00.000000000Z","24580","23495","24580","22443.11","22522.63349194455","2.669","470.3979798843691235175669814134303705575","20"
"ftx-bch-jpy-spot","2022-05-27T00:00:00.000000000Z","23495","22250","23495","22250","22817.91876543209","0.081","14.585552581089170009709757422511577725412","7"
"ftx-bch-jpy-spot","2022-05-28T00:00:00.000000000Z","22250","22250","22250","22250","22250","0","0","0"
"ftx-bch-jpy-spot","2022-05-29T00:00:00.000000000Z","22250","23611.09","23611.09","22250","23105.71085714286","0.035","6.36596364968165753461172691015875371","15"
"ftx-bch-jpy-spot","2022-05-30T00:00:00.000000000Z","23611.09","25045","25263.17","23611.09","24022.55558762024","2.391","449.809528875989791128377374312095056369409","32"
