market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count
"bitflyer-xrp-jpy-spot","2021-04-01T00:00:00.000000000Z","63.67","63.44","63.67","60.54","62.34676881907211","1776087.426754","1001402.8654961780302879460262","11846"
"bitflyer-xrp-jpy-spot","2021-04-02T00:00:00.000000000Z","63.43","67.4","69","62.9","65.09767339136692","567738.966812","332700.0852687835060745476511","1500"
"bitflyer-xrp-jpy-spot","2021-04-03T00:00:00.000000000Z","67.69","64.269999999999996","71.05","64.09","68.65662114456114","1604683.081918","994626.0397163892755399267301","2447"
"bitflyer-xrp-jpy-spot","2021-04-04T00:00:00.000000000Z","64.2600000000000051","70.36","70.48","63.87","66.47541579147381","1124117.192833","671811.188674354951309805393","1223"
"bitflyer-xrp-jpy-spot","2021-04-05T00:00:00.000000000Z","70.34","101.15","104.42","68.7","85.07277664610899","10246335.235409","7930048.6540727731746489179892","9659"
"bitflyer-xrp-jpy-spot","2021-04-06T00:00:00.000000000Z","101.15","120.1","122.49","86.98","108.0542413740771","13252494.96885","13000151.5611517210942406405097","14055"
"bitflyer-xrp-jpy-spot","2021-04-07T00:00:00.000000000Z","120.6","101.2","121.51","94.51","107.2522691896457","8371830.014019","8158704.5345440351309311591757","12574"
"bitflyer-xrp-jpy-spot","2021-04-08T00:00:00.000000000Z","101.16","115.75","117.02","99.8","107.1822288456562","5563132.056616","5442232.2968843368329197575604","5841"
"bitflyer-xrp-jpy-spot","2021-04-09T00:00:00.000000000Z","115.93","112.02","118.97","108.2","112.9452157633522","4570982.511802","4706316.4879228445694538932099","5443"
"bitflyer-xrp-jpy-spot","2021-04-10T00:00:00.000000000Z","112.02","150.870000000000005","152.58","111.04","134.4467810859298","19010582.066467","23352479.0461131454220133163792","17677"
"bitflyer-xrp-jpy-spot","2021-04-11T00:00:00.000000000Z","150.87","148.94","164.98","141.61","154.1717642329115","16113301.656766","22606865.8218835000111086269717","19236"
"bitflyer-xrp-jpy-spot","2021-04-12T00:00:00.000000000Z","148.98","160.82","161","143.89","150.5180478318107","7430328.801361","10206163.2060835274920996603801","9333"
"bitflyer-xrp-jpy-spot","2021-04-13T00:00:00.000000000Z","160.84","196.01","205.75","155.77","181.8773597442369","22731396.831284","37804709.7400318968529682834656","25301"
"bitflyer-xrp-jpy-spot","2021-04-14T00:00:00.000000000Z","196.28","200","214.39","162.7","195.8732813487145","20006211.692826","35896339.587990957885079383833","26293"
"bitflyer-xrp-jpy-spot","2021-04-15T00:00:00.000000000Z","200.02","191.610000000000014","204.7","180.17","191.2242487927228","7779455.311429","13663744.041514343258041812825","12848"
"bitflyer-xrp-jpy-spot","2021-04-16T00:00:00.000000000Z","191.659999999999997","169.5","196.1","155","176.912082257919","13849154.294773","22461771.1058913062158469573152","20927"
"bitflyer-xrp-jpy-spot","2021-04-17T00:00:00.000000000Z","169.46","169.1","189.2","168.01","177.8591914423825","7687350.102689","12542164.1626230498032638355826","14027"
"bitflyer-xrp-jpy-spot","2021-04-18T00:00:00.000000000Z","169.099999999999994","155.590000000000003","171.26","124","146.9154338607032","16733255.584554","22301140.2509302373642143876109","26443"
"bitflyer-xrp-jpy-spot","2021-04-19T00:00:00.000000000Z","155.55","141.7","167.3","135","152.0895349584842","10616755.826431","14854712.8443880867356235243754","19467"
"bitflyer-xrp-jpy-spot","2021-04-20T00:00:00.000000000Z","142.2","149.9","156.24","128.1","141.39491556709","12167832.207137","15873088.8994401866585919264579","20882"
"bitflyer-xrp-jpy-spot","2021-04-21T00:00:00.000000000Z","150","139.92","157.9","138.96","148.3428874530789","10248460.515311","14042970.1993478479974169548544","18561"
"bitflyer-xrp-jpy-spot","2021-04-22T00:00:00.000000000Z","140.19","125.14","152.8","118","137.3927245028768","15317312.388401","19455575.3693630713828605070839","25978"
"bitflyer-xrp-jpy-spot","2021-04-23T00:00:00.000000000Z","125.04","126.62","129.1","95.4","115.2456586758906","22327554.236549","23922878.5189260337765911593158","24262"
"bitflyer-xrp-jpy-spot","2021-04-24T00:00:00.000000000Z","127","113.48","127","110.8","118.3651671519096","8728246.641635","9547683.7042913103307004987987","9705"
"bitflyer-xrp-jpy-spot","2021-04-25T00:00:00.000000000Z","113.870000000000005","111.76","124.76","103.26","114.8947149506672","10131304.952796","10780109.3222565918239959882982","12178"
"bitflyer-xrp-jpy-spot","2021-04-26T00:00:00.000000000Z","112.11","148.300000000000011","149","110.11","131.9288805048402","21605797.664484","26377229.6200773936427214144639","19708"
"bitflyer-xrp-jpy-spot","2021-04-27T00:00:00.000000000Z","148","152.94","159.08","144.21","152.5946447022871","17854032.224024","25122118.972333779741653853744","18083"
"bitflyer-xrp-jpy-spot","2021-04-28T00:00:00.000000000Z","152.83","148","157.9","139.99","148.6307215629044","11589466.444627","15815445.7970990020699858779514","13777"
"bitflyer-xrp-jpy-spot","2021-04-29T00:00:00.000000000Z","147.91","152.870000000000005","154.69","144.6","150.9191647136961","8756138.43479","12129051.6996673021103146419221","10648"
"bitflyer-xrp-jpy-spot","2021-04-30T00:00:00.000000000Z","152.97999999999999","175.12","178.46","150.31","169.4094372251714","20922238.987991","32459584.412091713348039932883","21130"
"bitflyer-xrp-jpy-spot","2021-05-01T00:00:00.000000000Z","175.2","180.719999999999999","183.67","168","174.2834873765959","10075122.065019","16039927.913830592887801794004","15994"
"bitflyer-xrp-jpy-spot","2021-05-02T00:00:00.000000000Z","180.75","171.32","181.19","168","173.6214470616345","8555277.155346","13543148.5554867595709793252087","19104"
